Regulating TF,Regulated Operon
IHF,carAB
IHF,dps
IHF,ecpD-htrE
IHF,focA-pflB
IHF,glcDEFGB
IHF,glnHPQ
IHF,himA
IHF,himD
IHF,hycABCDEFGH
IHF,hypABCDE
IHF,narGHJI
IHF,narK
IHF,nuoABCEFGHIJKLMN
IHF,ompC
IHF,ompF
IHF,ompR-envZ
IHF,osmE
IHF,pspABCDE
IHF,sodA
IHF,tdcABCDEFG
IlvY,ilvC
IlvY,ilvY
KdpE,kdpABC
LacI,lacZYA
LeuO,leuLABCD
LexA,lexA-dinF
LexA,polB
LexA,recA
LexA,recN
LexA,rpsU-dnaG-rpoD
LexA,ssb
LexA,sulA
LexA,umuDC
LexA,uvrA
LexA,uvrB
LexA,uvrC
LexA,uvrD
Lrp,gcvTHP
Lrp,gltBDF
Lrp,ilvIH
Lrp,kbl-tdh
Lrp,livJ
Lrp,livKHMGF
Lrp,lrp
Lrp,lysU
Lrp,ompC
Lrp,ompF
Lrp,oppABCDF
Lrp,osmC
Lrp,sdaA
Lrp,serA
Lrp,stpA
LysR,lysA
LysR,lysR
LysR,tdcABCDEFG
MalI,malI
MalI,malXY
MalT,malEFG
MalT,malK-lamB-malM
MalT,malPQ
MalT,malS
MalT,malZ
MarA,fpr
MarA,fumC
MarA,nfo
MarA,sodA
MarA,zwf
MarR,marRAB
MelR,melAB
MelR,melR
MetJ,metA
MetJ,metC
MetJ,metF
MetJ,metJ
MetJ,metR
MetR,glyA
MetR,metA
MetR,metH
MetR,metR
MhpR,mhpABCDFE
Mlc,malT
Mlc,manXYZ
Mlc,ptsG
Mlc,ptsHI-crr
MaoB,maoABCDE
ModE,modABC
MtlR,mtlADR
Nac,gdhA
Nac,nac
Nac,putAP
NadR,nadB
NadR,pncB
NagC,glmUS
NagC,manXYZ
NagC,nagBACD
NagC,nagE
NarL,adhE
NarL,caiF
NarL,dcuB-fumB
NarL,dmsABC
NarL,fdnGHI
NarL,focA-pflB
NarL,frdABCD
NarL,narGHJI
NarL,narK
NarL,nirBDC-cysG
NarL,nrfABCDEFG
NarL,nuoABCEFGHIJKLMN
NarL,torCAD
NhaR,nhaA
NR(I),glnALG
NR(I),glnHPQ
NR(I),nac
OmpR,csgBA
OmpR,csgDEFG
OmpR,fadL
OmpR,flhDC
OmpR,ompC
OmpR,ompF
OxyR,ahpCF
OxyR,dps
OxyR,gorA
OxyR,katG
OxyR,oxyR
PdhR,pdhR-aceEF-lpdA
PhoB,phnCDE-f73-phnFGHIJKLMNOP
PhoB,phoA
PhoB,phoBR
PhoB,phoE
PhoB,pstSCAB-phoU
PspF,pspABCDE
PurR,codBA
PurR,cvpA-purF-ubiX
PurR,gcvTHP
PurR,glnB
PurR,glyA
PurR,guaBA
PurR,prsA
PurR,purC
PurR,purEK
PurR,purHD
PurR,purL
PurR,purMN
PurR,purR
PurR,pyrC
PurR,pyrD
PurR,speA
PurR,ycfC-purB
PutA,putAP
RbsR,rbsDACBK
RcsAB,ftsQAZ
RcsAB,rcsA
RcsAB,wza-wzb-b2060-wcaA-wcaB
RhaSR,rhaBAD
RhaSR,rhaSR
RhaSR,rhaT
Rob,aslB
Rob,fumC
Rob,galETKM
Rob,inaA
Rob,marRAB
Rob,mdlA
Rob,nfo
Rob,sodA
Rob,ybaO
Rob,ybiS
Rob,yfhD
Rob,zwf
RpiR,rpiB
RpiR,rpiR-alsBACEK
RpoE,cutC
RpoE,dapA-nlpB-purA
RpoE,ecfABC
RpoE,ecfD
RpoE,ecfF
RpoE,ecfG
RpoE,ecfH
RpoE,ecfI
RpoE,ecfJ
RpoE,ecfK
RpoE,ecfLM
RpoE,fkpA
RpoE,htrA
RpoE,ksgA-epaG-epaH
RpoE,lpxDA-fabZ
RpoE,mdoGH
RpoE,nlpB-purA
RpoE,ostA-surA-pdxA
RpoE,rfaDFCL
RpoE,rpoD
RpoE,rpoE-rseABC
RpoE,rpoH
RpoE,skp-lpxDA-fabZ
RpoE,uppS-cdsA-ecfE
RpoE,xprB-dsbC-recJ
RpoH,clpP
RpoH,dnaKJ
RpoH,grpE
RpoH,hflB
RpoH,htpG
RpoH,htpY
RpoH,ibpAB
RpoH,lon
RpoH,mopA
RpoH,mopB
RpoN,atoC
RpoN,dctA
RpoN,fdhF
RpoN,fhlA
RpoN,glnALG
RpoN,glnHPQ
RpoN,hycABCDEFGH
RpoN,hypA
RpoN,nac
RpoN,nycA
RpoN,pspABCDE
RpoN,rtcR
RpoN,zraP
RpoS,acs
RpoS,adhE
RpoS,aldB
RpoS,alkA
RpoS,appY
RpoS,cpxAR
RpoS,dps
RpoS,ftsQAZ
RpoS,katG
RpoS,narZYWV
RpoS,nhaA
RpoS,osmC
RpoS,osmY
RpoS,proP
RtcR,rtcAB
SoxR,soxR
SoxR,soxS
SoxS,acnA
SoxS,fpr
SoxS,fumC
SoxS,nfo
SoxS,sodA
SoxS,soxS
SoxS,zwf
TdcA,tdcABCDEFG
TdcR,tdcABCDEFG
TorR,torCAD
TorR,torR
TreR,treBC
TrpR,aroH
TrpR,aroL-yaiA-aroM
TrpR,mtr
TrpR,trpLEDCBA
TrpR,trpR
TyrR,aroF-tyrA
TyrR,aroG
TyrR,aroL-yaiA-aroM
TyrR,aroP
TyrR,mtr
TyrR,tyrB
TyrR,tyrP
TyrR,tyrR
UhpA,uhpT
UidR,uidRABC
UxuR,uidRABC
UxuR,uxuABR
XapR,xapAB
XylR,xylAB
XylR,xylFGHR
YiaJ,yiaKLMNOPQRS
YjbK,znuABC
ZntR,zntA
